dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution_thousand_usd,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_thousand_usd,reconstruction_costs_adjusted_thousand_usd,insured_damages_thousand_usd,insured_damages_adjusted_thousand_usd,total_damages_thousand_usd,total_damages_adjusted_thousand_usd,cpi,adm_level,admin1_code,admin2_code,geo_locations
2005-0713-FRA,2005,0713,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes provinces",,Snow/ice,,,,,,,°C,,,,,2005,12,27,2005,12,30,2,,,,,,,,,,,72.0714104526569,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1)."
2005-0364-AUT,2005,0364,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Salzburg province (Mittersill city), Oberosterreich province (Schärding city) & Niederosterreich province (Aschbach Markt city, Amstetten district)",Heavy rains,,,,,Yes,,,Km2,,,,,2005,7,10,2005,7,12,,,900,,900,,,,,,,72.0714104526569,1,480;481;482,,"Niederosterreich, Oberosterreich, Salzburg (Adm1)."
2005-0451-AUT,2005,0451,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Karnten, Steiermark, Tirol (Ischgl city, Galtur village), Vorarlberg (Gargallen village) provinces",Heavy rains,,,,,,,,Km2,,,,"Rhine tributaries : Landquart, Aare",2005,8,21,2005,8,26,4,,,,,,,130000,180377,7e+05,971259,72.0714104526569,1,479;483;484;485,,"Karnten, Steiermark, Tirol, Vorarlberg (Adm1)."
2005-0451-CHE,2005,0451,,Natural,Hydrological,Flood,Riverine flood,,,Switzerland,CHE,Western Europe,Europe,"Brienz (Bern province) ; Bern, Luzern, Schwyz, Uri, Obwalden provinces",Heavy rains,,,Yes,,,,,Km2,,,,"Danub and tributaries: Isar, Enns, Inn",2005,8,21,2005,8,26,6,,2500,,2500,795000,1103073,1525000,2115957,2100000,2913777,72.0714104526569,1,2812;2818;2821;2824;2828,,"Bern, Luzern, Obwalden, Schwyz, Uri (Adm1)."
2005-0713-CHE,2005,0713,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Switzerland,CHE,Western Europe,Europe,"Graubunden, Ticino, Valais provinces",,,,,,,,-35,°C,,,,,2005,12,27,2005,12,30,,,,,,,,,,,,72.0714104526569,1,2816;2827;2829,,"Graubunden, Ticino, Valais (Adm1)."
2005-0364-DEU,2005,0364,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Oberbayern district (Bayern province),Heavy rains,,,,,,,,Km2,,,,"Flüsse, Bäche",2005,7,10,2005,7,13,,,450,,450,,,,,,,72.0714104526569,2,,16532,Oberbayern (Adm2).
2005-0451-DEU,2005,0451,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Oberbayern district (Bayern province),Heavy rains,,,,,,,,Km2,,,,Danube,2005,8,21,2005,8,26,1,,,,,,,50000,69376,220000,305253,72.0714104526569,2,,16532,Oberbayern (Adm2).
2005-0713-DEU,2005,0713,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,,,,,,-20,°C,,,,,2006,1,22,2006,1,28,10,,,,,,,,,,,72.0714104526569,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2005-0647-FRA,2005,0647,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Perpignan city (Pyrenees-Orientales district, Languedoc-Rousillon province)",Heavy rains,,,,,,,2000,Km2,,,,"Augly, Verdouble",2005,11,15,2005,11,17,2,,1000,,1000,,,,,,,72.0714104526569,2,,16289,Pyrenees-Orientales (Adm2).
2005-0367-FRA,2005,0367,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,"Gardanne, Aix en Provence, Meyreuil, Lançon-de-Provence, Val-de-Cibourg (Bouches du Rhone), Calvi, Calenzana, Haut Nebbio, Pieve, Vallecalle, Murato, Montemaggiore, Montegrosso, Zilia, Avapessa et Aregno (Haute Corse), Saint-Zacharie, Draguignan, Saint-Tropez, Vidauban, Muy (Var) , Meze (Herault)",,,,,,,,36,Km2,,,,,2005,6,20,2005,8,26,2,,,,,,,,,10000,13875,72.0714104526569,2,,16271;16287;16322;16324,"Bouches-du-Rhone, Haute-Corse, Herault, Var (Adm2)."
2006-0156-AUT,2006,0156,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Niederosterreich, Oberosterreich provinces",Rains and sonwmelt,Broken Dam/Burst bank,,,,,,,Km2,49.86,16.09,,"Thaya, Danube, Inn, Traun, Enns, March",2006,3,28,2006,4,17,,,516,,516,,,,,,,74.3963874917997,1,480;481,,"Niederosterreich, Oberosterreich (Adm1)."
2006-0156-DEU,2006,0156,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,"Dresden district (Saxony province) ; Saxony-Anhalt, Brandenburg provinces",Raisn and snowmelt,Broken Dam/Burst bank,,,,,,,Km2,49.86,16.09,,Elbe,2006,3,28,2006,4,17,,,1000,,1000,,,,,,,74.3963874917997,1;2,1311;1321,16560,"Brandenburg, Sachsen-Anhalt (Adm1). Dresden (Adm2)."
2006-0352-DEU,2006,0352,,Natural,Meteorological,Storm,Convective storm,Hail,,Germany,DEU,Western Europe,Europe,Baden-Wuerttemberg province,,Hail,,,,,,,Kph,,,,,2006,6,28,2006,6,29,1,100,,,100,,,,,,,74.3963874917997,1,1308,,Baden-Wuerttemberg (Adm1).
2006-0124-FRA,2006,0124,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Provence-Alpes-Cote-d'Azur, Franche-Comte, Rhone-Alpes, Lorraine, Alsace provinces",,Cold wave,,,,,,,Kph,,,,,2006,3,,2006,3,,4,,,,,,,,,,,74.3963874917997,1,1248;1257;1263;1269;1270,,"Alsace, Franche-Comte, Lorraine, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1)."
2006-0356-DEU,2006,0356,,Natural,Meteorological,Storm,,,,Germany,DEU,Western Europe,Europe,Berlin city (Berlin province),,Flood,,,,Yes,,,Kph,,,,,2006,7,7,2006,7,7,,,,,,,,,,,,74.3963874917997,1,1310,,Berlin (Adm1).
2006-0573-FRA,2006,0573,,Natural,Meteorological,Storm,Convective storm,Tornado,,France,FRA,Western Europe,Europe,"Vendée district (Pays de Loire province), Doubs, Jura (Franche-Comte province) ; Bretagne, Pays de Loire, Auvergne provinces",,Flood,,,,,,133,Kph,,,,,2006,10,23,2006,10,24,1,2,600,,602,,,,,,,74.3963874917997,1;2,1250;1253;1266,16272;16274,"Auvergne, Bretagne, Pays-de-la-Loire (Adm1). Doubs, Jura (Adm2)."
2006-0383-BEL,2006,0383,,Natural,Meteorological,Extreme temperature,Heat wave,,,Belgium,BEL,Western Europe,Europe,"Vlaams Geweest, Region de bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne",,,,,,,,,°C,,,,,2006,6,,2006,7,,940,,,,,,,,,,,74.3963874917997,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2006-0419-CHE,2006,0419,,Natural,Hydrological,Flood,Riverine flood,,,Switzerland,CHE,Western Europe,Europe,Martigny city (Valais province),Heavy rain,,,,,,,364,Km2,46.04,7.39,,Dumand river,2006,7,26,2006,7,27,,,3000,,3000,,,,,,,74.3963874917997,1,2829,,Valais (Adm1).
2006-0124-CHE,2006,0124,,Natural,Meteorological,Storm,,,,Switzerland,CHE,Western Europe,Europe,"Bern, Graubunden, Ticino, Uri, Valais provinces",,,,,,,,,Kph,,,,,2006,3,,2006,3,,1,,,,,,,,,,,74.3963874917997,1,2812;2816;2827;2828;2829,,"Bern, Graubunden, Ticino, Uri, Valais (Adm1)."
2006-0383-DEU,2006,0383,,Natural,Meteorological,Extreme temperature,Heat wave,,,Germany,DEU,Western Europe,Europe,"Dresden city (Dresden district, Sachsen province), Brombach lake (Mittelfranken district, Bayern province)",,,,,,,,,°C,,,,,2006,7,15,2006,7,23,2,,,,,,,,,,,74.3963874917997,2,,16530;16560,"Dresden, Mittelfranken (Adm2)."
2006-0124-DEU,2006,0124,,Natural,Meteorological,Storm,,,,Germany,DEU,Western Europe,Europe,"Bayern, Baden-Wuerttemberg, Hessen provinces",,,,,,,,,Kph,,,,,2006,3,,2006,3,,10,200,,,200,,,,,,,74.3963874917997,1,1308;1309;1314,,"Baden-Wuerttemberg, Bayern, Hessen (Adm1)."
2006-0383-FRA,2006,0383,,Natural,Meteorological,Extreme temperature,Heat wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,,,,,,37,°C,,,,,2006,7,15,2006,7,23,1388,,,,,,,,,,,74.3963874917997,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1)."
2007-0019-AUT,2007,0019,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Austria,AUT,Western Europe,Europe,No Data from sources (all provinces of Austria have been selected),,,,,,,,,Kph,,,,,2007,1,17,2007,1,18,,,,,,,,260000,339786,4e+05,522748,76.5186792040236,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1)."
2007-0019-BEL,2007,0019,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Belgium,BEL,Western Europe,Europe,"Ambresin village (Liege district, Region wallonne province), Hal city (Vlaams-Brabant district, Vlaams Gewest) ; Vlaams Gewest, Region walonne, Region de Bruxelles-Capitale provinces",,,,,,,,130,Kph,,,,,2007,1,18,2007,1,18,2,2,,,2,,,280000,365924,450000,588092,76.5186792040236,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2007-0037-CHE,2007,0037,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Switzerland,CHE,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,,,,,,,,Kph,,,,,2007,1,23,2007,1,26,,,,,,,,,,,,76.5186792040236,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2007-0019-CHE,2007,0019,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Switzerland,CHE,Western Europe,Europe,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",,,,,,,,,Kph,,,,,2007,1,17,2007,1,18,,,,,,,,,,1e+05,130687,76.5186792040236,1,2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832,,"Aargau, Appenzell Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich (Adm1)."
2007-0037-DEU,2007,0037,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Germany,DEU,Western Europe,Europe,"Berlin city (Berlin province), Seesen city (Niedersachsen province), Lubeck, Brugge cities (Schleswig-Holstein province), Werder city (Brandenburg province)",,,,,,,,,Kph,,,,,2007,1,23,2007,1,25,7,,,,,,,,,,,76.5186792040236,1,1310;1311;1316;1322,,"Berlin, Brandenburg, Niedersachsen, Schleswig-Holstein (Adm1)."
2007-0019-DEU,2007,0019,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,,,,,,200,Kph,,,,,2007,1,18,2007,1,18,11,130,,,130,,,3120000,4077436,5500000,7187787,76.5186792040236,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1)."
2007-0037-FRA,2007,0037,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,France,FRA,Western Europe,Europe,"Poitou-Charentes, Aquitaine, Midi-Pyrenees, Languedoc-Rousillon, Limousin provinces (South-West)",,,,,,,,,Kph,,,,,2007,1,23,2007,1,26,1,,,,,,,,,,,76.5186792040236,1,1249;1260;1262;1264;1268,,"Aquitaine, Languedoc-Rousillon, Limousin, Midi-Pyrenees, Poitou-Charentes (Adm1)."
2007-0019-FRA,2007,0019,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,France,FRA,Western Europe,Europe,"Alsace, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Franche-Comte, Haute-Normandie, Ile-de-France, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie provinces",,,,,,,,,Kph,,,,,2007,1,18,2007,1,18,3,,,,,,,130000,169893,250000,326718,76.5186792040236,1,1248;1251;1252;1253;1254;1255;1257;1258;1259;1263;1265;1266;1267,,"Alsace, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Franche-Comte, Haute-Normandie, Ile-de-France, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie (Adm1)."
2005-0713-NLD,2005,0713,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Netherlands (the),NLD,Western Europe,Europe,Amsterdam (Noord-Holland province),,Snow/ice,,,,,,,°C,,,,,2005,12,27,2005,12,30,,,,,,,,,,,,72.0714104526569,1,2165,,Noord-holland (Adm1).
2005-0655-NLD,2005,0655,,Natural,Meteorological,Extreme temperature,Cold wave,,,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,,,,,,,°C,,,,,2005,11,25,2005,11,27,,,,,,,,60000,83251,1e+05,138751,72.0714104526569,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2006-0383-NLD,2006,0383,,Natural,Meteorological,Extreme temperature,Heat wave,,,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,,,,,,34,°C,,,,,2006,7,15,2006,7,23,1000,,,,,,,,,,,74.3963874917997,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2007-0019-NLD,2007,0019,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland provinces",,,,,,,,133,Kph,,,,,2007,1,18,2007,1,18,7,,,,,,,425000,555420,550000,718779,76.5186792040236,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
2007-0170-FRA,2007,0170,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Pau city (Ossau valley, Pyrenees-Atlantique district, Aquitaine province)",,Flood,Hail,,,,,,Kph,43.3,-0.47,,,2007,5,25,2007,5,27,1,,900,,900,,,,,,,76.5186792040236,2,,16244,Pyrenees-Atlantique (Adm2).
2007-0235-AUT,2007,0235,HT-2007-000106,Natural,Meteorological,Extreme temperature,Heat wave,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien provinces",,,,,,,,39,°C,,,,,2007,7,,2007,7,,5,,,,,,,,,,,76.5186792040236,1,478;479;480;483;486,,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien (Adm1)."
2007-0349-CHE,2007,0349,,Natural,Hydrological,Flood,Riverine flood,,,Switzerland,CHE,Western Europe,Europe,"Bern, Graubunden, Ticino, Uri, Valais provinces",Heavy rain,,,,,,,,Km2,,,,,2007,8,8,2007,8,12,1,1,100,,101,,,280000,365924,350000,457405,76.5186792040236,1,2812;2816;2827;2828;2829,,"Bern, Graubunden, Ticino, Uri, Valais (Adm1)."
2007-0349-DEU,2007,0349,,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Rheinland-Pfalz province,Heavy rain,,,,,,,,Km2,,,,Rhin,2007,8,9,2007,8,12,1,,,,,,,,,,,76.5186792040236,1,1318,,Rheinland-Pfalz (Adm1).
2008-0237-FRA,2008,0237,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,France,FRA,Western Europe,Europe,"Avignon, Thor cities (Vaucluse distric, Provence-Alpes-Cote-d'Azur province), Saint-Martin de Vers, Saint-Sauveur-la-valléen cities (Lot), Roquefort (Aveyron) ; Ain district (Rhone-Alpes province) ; Bourgogne province",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,,,,,2008,6,10,2008,6,10,,6,600,,606,,,,,,,79.4563043953641,1;2,1252,16299;16303;16325;16326,"Bourgogne (Adm1). Ain, Aveyron, Lot, Vaucluse (Adm2)."
2008-0653-DEU,2008,0653,,Natural,Meteorological,Storm,Convective storm,Severe storm,Hilal,Germany,DEU,Western Europe,Europe,"Baden-Württemberg, Nordrhein-Westfalen, Hesse, Rheinland-Pfalz, Sachsen",,Hail,,,,,,,Kph,,,,,2008,5,29,2008,6,2,3,,,,,,,1100000,1384409,1500000,1887830,79.4563043953641,1,1308;1314;1317;1318;1320,,"Baden-Wuerttemberg, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen (Adm1)."
2008-0082-AUT,2008,0082,,Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Austria,AUT,Western Europe,Europe,"Tirol, Salzburg, Niederosterreich provinces",,Flood,,,,,,130,Kph,,,,,2008,2,29,2008,3,2,4,,,,,,,,,5e+05,629277,79.4563043953641,1,480;482;484,,"Niederosterreich, Salzburg, Tirol (Adm1)."
2008-0082-DEU,2008,0082,,Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Germany,DEU,Western Europe,Europe,Bayern,,Flood,,,,,,220,Kph,,,,,2008,2,29,2008,3,2,5,,,,,,,,,1200000,1510264,79.4563043953641,1,1309,,Bayern (Adm1).
2008-0165-FRA,2008,0165,,Natural,Meteorological,Storm,Convective storm,Severe storm,Johanna,France,FRA,Western Europe,Europe,"Basse-Normandie, Haute-Normandie, Picardie, Nord-Pas-de-Calais provinces (Northern)",,Flood,,,,,,155,Kph,,,,,2008,3,10,2008,3,10,2,,,,,,,,,,,79.4563043953641,1,1251;1258;1265;1267,,"Basse-Normandie, Haute-Normandie, Nord-Pas-de-Calais, Picardie (Adm1)."
2008-0082-BEL,2008,0082,,Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale, Region wallonne,Vlaams Gewest provinces",,,,,,,,,Kph,,,,,2008,2,29,2008,3,1,,,,,,,,,,,,79.4563043953641,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1)."
2008-0633-BEL,2008,0633,,Natural,Meteorological,Extreme temperature,Cold wave,,,Belgium,BEL,Western Europe,Europe,"Leuven city ( Vlaams-Brabant district, Vlaams Gewest province)",,,,,,,,-20,°C,,,,,2009,1,,2009,1,,1,,,,,,,,,,,79.4563043953641,2,,5847,Vlaams-Brabant (Adm2).
2008-0633-DEU,2008,0633,,Natural,Meteorological,Extreme temperature,Cold wave,,,Germany,DEU,Western Europe,Europe,"Berlin, Brandenburg, Bremen, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt, Thueringen provinces",,,,,,,,-26,°C,,,,,2009,1,5,2009,1,,1,,,,,,,,,,,79.4563043953641,1,1310;1311;1312;1314;1316;1317;1318;1320;1321;1323,,"Berlin, Brandenburg, Bremen, Hessen, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Sachsen, Sachsen-Anhalt, Thueringen (Adm1)."
2008-0321-FRA,2008,0321,,Natural,Meteorological,Storm,Convective storm,Tornado,,France,FRA,Western Europe,Europe,"Hautmont city (Nord distric, Nord-Pas-de-Calais province)",,,,,,,,215,Kph,,,,,2008,8,3,2008,8,4,3,,1500,600,2100,,,60000,75513,80000,100684,79.4563043953641,2,,16306,Nord (Adm2).
2008-0633-FRA,2008,0633,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,"Ile-de-France, Nord-Pas-de-Calais, Provence-Alpes-Cote-d'Azur provinces",,,,,,,,,°C,,,,,2009,1,6,2009,1,8,2,,,,,,,,,,,79.4563043953641,1,1259;1265;1269,,"Ile-de-France, Nord-Pas-de-Calais, Provence-Alpes-Cote-d'Azur (Adm1)."
2009-0014-FRA,2009,0014,,Natural,Meteorological,Storm,Extra-tropical storm,,Klaus,France,FRA,Western Europe,Europe,"Landes, Pyrénées-Atlantiques, Lot-et-Garonne district (Aquitaine province), Hautes-Pyrénnées, Gers, Haute-Garonne (Midi-Pyrenées province), Aude, Pyrénnées Orientales (Languedoc-Rousillon province)",,Flood,"Slide (land, mud, snow, rock)",,,,,171,Kph,42.24,-2.6,,,2009,1,23,2009,1,26,11,,,,,,,2090000,2639762,3200000,4041741,79.1738027553029,2,,16242;16243;16244;16289;16290;16300;16301;16302,"Aude, Gers, Haute-Garonne, Hautes-Pyrenees, Landes, Lot-et-Garonne, Pyrenees-Atlantique, Pyrenees-Orientales (Adm2)."
2009-0228-AUT,2009,0228,FL-2009-000121,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Burgenland, Niederosterreich, Oberosterreich, Wien provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,12250,Km2,,,,Danube,2009,6,22,2009,6,28,1,,,,,,,,,2e+05,252609,79.1738027553029,1,478;480;481;486,,"Burgenland, Niederosterreich, Oberosterreich, Wien (Adm1)."
2009-0228-DEU,2009,0228,FL-2009-000121,Natural,Hydrological,Flood,Riverine flood,,,Germany,DEU,Western Europe,Europe,Oberbayern district (Bayern province),Heavy rains,,,,,,,,Km2,,,,,2009,6,22,2009,6,26,,,,,,,,,,20000,25261,79.1738027553029,2,,16532,Oberbayern (Adm2).
2009-0029-FRA,2009,0029,,Natural,Meteorological,Extreme temperature,Severe winter conditions,Snow/Ice,,France,FRA,Western Europe,Europe,"Lyon city (Rhone district, Rhone-Alpes province)",,,,,,,,,°C,,,,,2009,1,14,2009,1,14,3,200,,,200,,,,,,,79.1738027553029,2,,16332,Rhone (Adm2).
2008-0082-NLD,2008,0082,,Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland",,,,,,,,,Kph,,,,,2008,2,29,2008,3,2,,,,,,,,,,,,79.4563043953641,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1)."
